Course Code,Contact Person,Course Title,Credits,Other Info,Restrictions,Equivalents,Prerequisites
SENG401,Etienne Borde (https://profiles.canterbury.ac.nz/etienne-borde),Software Engineering III,15 points,SENG401-25S1 (C) Semester One 2025,"SENG301, SENG302",,"SENG301  and  SENG302, SENG301, SENG302"
PSYC409,"School of Psychology, Speech and Hearing (https://www.canterbury.ac.nz/study/academic-study/science/science-schools-and-departments/school-of-psychology-speech-and-hearing/contact-the-school-of-psychology--speech-and-hearing)",Special Topic: Neurobiology of Higher Cognition,15 points,PSYC409-25S2 (C) Semester Two 2025,,,Subject to approval of the Head of Department.
PSYC416,Ewald Neumann (https://profiles.canterbury.ac.nz/Ewald-Neumann),Cognitive Psychology,15 points,PSYC416-25S2 (C) Semester Two 2025,PSYC208,PSYC340,"PSYC208 ; or subject to the approval of the Head of School., PSYC208"
PSYC442,Rikki Thompson (https://www.canterbury.ac.nz/about-uc/contact-us/staff-directory/rikki-thompson),Clinical Practice Guidelines and Introduction to Cognitive Behaviour Assessment,30 points,PSYC442-25S1 (C) Semester One 2025,,,Subject to the approval of the Programme Director.
PSYC443,Rikki Thompson (https://www.canterbury.ac.nz/about-uc/contact-us/staff-directory/rikki-thompson),Cognitive Behaviour Therapy Case Conceptualisation and Intervention,30 points,PSYC443-25S2 (C) Semester Two 2025,,,Subject to the approval of the Programme Director.
PSYC447,Amanda Baird (https://www.canterbury.ac.nz/about-uc/contact-us/staff-directory/amanda-baird),Frontiers of Cognitive Behaviour Therapy II,30 points,PSYC447-25W (C) Whole Year 2025,,,Subject to the approval of the Programme Director.
SPSC461/SPSC675,Jayne Newbury (https://courseinfo.canterbury.ac.nz/ShowPeopleDetails.aspx?id=22001),Evidence-based Case Integration in the Aotearoa Context,15 points,SPSC461-25S2 (C) Semester Two 2025/SPSC675-25S2 (C) Semester Two 2025,"SPSC320, SPSC363, SPSC369","SPSC675, SPSC461","SPSC320, Entry subject to approval by the Head of School., SPSC320 ,  SPSC369 ,  SPSC363, SPSC369, SPSC363"
PSYC480,Peyman Zawar-Reza (https://profiles.canterbury.ac.nz/Peyman-Zawar-Reza),Special Topic: Computational Contemplative-Neuroscience,15 points,PSYC480-25S1 (C) Semester One 2025,,,"Subject to approval of the Head of School. Recommended preparation: Bachelors of Science (Psychology), Bachelor of Arts (Psychology), Bachelor of Data Science, orBachelor of Health Sciences"
CFPY612,Katie McTaggart (https://courseinfo.canterbury.ac.nz/ShowPeopleDetails.aspx?id=245997),Year 1 Practicum and Skills Training,45 points,CFPY612-25W (C) Whole Year 2025,,CFPY501,"Completed a PGDipSci in Child and Family Psychology, or Part 1 of the Masters of Science in Child and Family Psychology, or equivalent as approved by the Amo Matua, Te Kaupeka Oranga | Executive Dean of Health or delegate."
INFO633,Nelly Todorova (https://profiles.canterbury.ac.nz/Nelly-Todorova),Knowledge Management,15 points,INFO633-25S1 (C) Semester One 2025 - Not offered For further information see INFO633 course details,,,Subject to approval of the Head of Department
PSYC651,Janet Carter (https://profiles.canterbury.ac.nz/Janet-Carter),Psychotherapeutic Methods,30 points,PSYC651-25W (C) Whole Year 2025,,,Subject to approval of the Head of Department.
